smiles,NR-AR
CCO,0
CCC,1
CCN,0
c1ccccc1O,1
C1CCCCC1,0
CCO,0
CCC,1
CCN,0
c1ccccc1O,1
C1CCCCC1,0
CCO,0
CCC,1
CCN,0
c1ccccc1O,1
C1CCCCC1,0
CCO,0
CCC,1
CCN,0
c1ccccc1O,1
C1CCCCC1,0
CCO,0
CCC,1
CCN,0
c1ccccc1O,1
C1CCCCC1,0
CCO,0
CCC,1
CCN,0
c1ccccc1O,1
C1CCCCC1,0
CCO,0
CCC,1
CCN,0
c1ccccc1O,1
C1CCCCC1,0
CCO,0
CCC,1
CCN,0
c1ccccc1O,1
C1CCCCC1,0
CCO,0
CCC,1
CCN,0
c1ccccc1O,1
C1CCCCC1,0
CCO,0
CCC,1
CCN,0
c1ccccc1O,1
C1CCCCC1,0
CCO,0
CCC,1
CCN,0
c1ccccc1O,1
C1CCCCC1,0
CCO,0
CCC,1
CCN,0
c1ccccc1O,1
C1CCCCC1,0
CCO,0
CCC,1
CCN,0
c1ccccc1O,1
C1CCCCC1,0
CCO,0
CCC,1
CCN,0
c1ccccc1O,1
C1CCCCC1,0
CCO,0
CCC,1
CCN,0
c1ccccc1O,1
C1CCCCC1,0
CCO,0
CCC,1
CCN,0
c1ccccc1O,1
C1CCCCC1,0
CCO,0
CCC,1
CCN,0
c1ccccc1O,1
C1CCCCC1,0
CCO,0
CCC,1
CCN,0
c1ccccc1O,1
C1CCCCC1,0
CCO,0
CCC,1
CCN,0
c1ccccc1O,1
C1CCCCC1,0
CCO,0
CCC,1
CCN,0
c1ccccc1O,1
C1CCCCC1,0
